158,107,191
141,101,178
128,94,161
122,87,153
142,95,174
146,97,172
158,111,190
163,121,198
176,131,205
144,137,198
138,130,194
133,121,186
137,122,192
133,124,193
145,142,204
136,122,194
136,120,190
137,128,196
121,109,185
124,120,195
127,137,202
117,107,193
104,115,195
60,70,139
58,68,136
107,108,163
94,81,146
98,89,155
102,98,162
111,111,175
104,87,150
111,99,166
83,79,141
71,72,136
72,84,153
89,83,138
83,76,142
76,74,149
70,80,156
84,74,146
75,73,152
71,85,166
79,69,148
82,81,161
76,81,151
64,75,139
67,75,144
75,84,161
73,85,145
84,87,150
86,91,138
93,91,149
90,93,148
104,94,169
93,91,172
89,94,175
92,84,168
105,96,182
106,97,184
158,111,186
173,110,187
155,97,173
145,95,171
183,114,194
167,101,189
159,106,189
164,111,196
107,90,172
100,93,172
98,98,174
97,110,180
107,101,177
102,96,175
94,95,174
91,108,184
154,143,187
151,136,189
136,136,181
133,127,182
135,123,185
170,145,185
159,144,185
144,129,179
134,121,177
174,144,189
157,133,186
141,124,183
132,96,157
119,97,160
113,95,161
112,101,173
150,104,163
138,98,161
137,100,172
130,103,179
120,103,147
119,101,158
115,98,170
122,107,176
118,92,160
116,96,174
121,105,179
124,102,180
48,51,125
56,53,125
61,52,127
46,51,127
44,42,114
54,47,120
57,47,123
57,47,125
45,51,132
45,42,119
52,47,124
53,49,126
41,67,158
40,58,151
41,72,164
35,55,150
111,106,170
104,91,174
106,91,178
101,103,172
92,87,177
94,88,179
92,92,176
126,90,161
130,88,163
128,82,161
124,92,161
121,81,156
122,80,158
115,74,154
116,81,158
121,87,163
120,82,161
115,77,160
112,77,162
108,81,165
114,86,166
113,82,165
114,79,165
105,75,159
112,87,172
114,89,164
131,101,181
148,114,193
136,111,195
120,93,184
130,95,183
143,104,191
123,102,181
128,104,187
132,108,190
120,90,156
115,84,153
133,101,166
120,88,158
110,77,152
97,68,133
116,96,147
117,88,164
107,80,157
113,89,165
78,59,120
81,58,116
88,59,115
83,61,125
89,59,120
168,95,174
145,89,170
153,91,170
161,90,170
134,93,174
141,88,170
142,80,164
138,97,179
133,88,172
140,85,171
136,94,184
